image_id,top_1_token_id,top_1_word,top_1_score,top_2_token_id,top_2_word,top_2_score,top_3_token_id,top_3_word,top_3_score,top_4_token_id,top_4_word,top_4_score,top_5_token_id,top_5_word,top_5_score
569059,5056,atives,0.06494140625,21710,Ri,0.0633544921875,15776,itants,0.0615234375,2310,dem,0.061187744140625,17889,rôle,0.060821533203125
177489,3660,ae,0.07275390625,273,an,0.06585693359375,18015,ardi,0.06390380859375,16673,inale,0.060455322265625,16171,Debug,0.059814453125
236426,23926,armed,0.07122802734375,24862,"!"");",0.0635986328125,4330,TE,0.0621337890625,27602,Mvc,0.062103271484375,21710,Ri,0.06024169921875
115245,22934,ственно,0.07269287109375,24574,aders,0.07177734375,13073,ctx,0.06964111328125,3660,ae,0.06793212890625,19696,tex,0.0675048828125
215072,22238,Laravel,0.06982421875,4624,Wil,0.069091796875,14042,lj,0.06719970703125,287,ed,0.06695556640625,10853,contents,0.06610107421875
237984,10257,professional,0.07086181640625,30176,ˈ,0.06988525390625,17572,wort,0.0697021484375,3660,ae,0.0673828125,25097,lieutenant,0.0653076171875
415194,4330,TE,0.0709228515625,17572,wort,0.07000732421875,29899,-,0.06378173828125,649,put,0.060821533203125,1188,log,0.059600830078125
322352,19891,/_,0.0753173828125,30898,度,0.0716552734375,26464,endi,0.0716552734375,3660,ae,0.07098388671875,17572,wort,0.068603515625
168593,17464,oslav,0.07403564453125,17572,wort,0.0670166015625,3660,ae,0.06549072265625,7538,äh,0.0634765625,26791,hens,0.06268310546875
276285,16171,Debug,0.072998046875,26968,roe,0.06494140625,29584,мало,0.06475830078125,23927,hell,0.061431884765625,13145,ремен,0.059417724609375
472678,24130,domin,0.0665283203125,649,put,0.06390380859375,12533,pton,0.06256103515625,17464,oslav,0.0625,10094,yan,0.06103515625
374982,16171,Debug,0.07049560546875,31363,軍,0.06793212890625,1263,ова,0.06640625,30019,ç,0.066162109375,13523,дор,0.06585693359375
256916,16171,Debug,0.06982421875,5445,fill,0.06158447265625,23377,idor,0.06072998046875,12313,bad,0.060516357421875,649,put,0.060333251953125
520659,622,ject,0.07293701171875,18282,iku,0.07080078125,29428,LOAD,0.06658935546875,1,<s>,0.0665283203125,20342,ardon,0.0631103515625
448076,25261,erea,0.067626953125,19048,}{(,0.06414794921875,26791,hens,0.06390380859375,1064,ér,0.06390380859375,4896,чен,0.063720703125
438774,28214,adin,0.0660400390625,649,put,0.0640869140625,18616,sent,0.0625,19982,leb,0.06243896484375,11148,ll,0.062164306640625
147415,28752,atia,0.07061767578125,21710,Ri,0.0628662109375,5475,iles,0.062469482421875,26464,endi,0.0618896484375,16882,ecc,0.061676025390625
180101,29983,í,0.0738525390625,193,�,0.06842041015625,24130,domin,0.0660400390625,1263,ова,0.0650634765625,16171,Debug,0.06396484375
257084,1,<s>,0.077880859375,21191,%{,0.0694580078125,3965,press,0.0621337890625,20138,iras,0.061126708984375,2925,ances,0.06103515625
